model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Gradient Boosting,threshold_grid,0.58,0.4,0.04,0.9183445190156599,0.8781362007168458,0.6862745098039216,0.7704402515723271,0.9632800709382285,1397,34,112,245,1406100.0,22096.0,1428196.0,798.7673378076063,0.6,2343500.0,552400.0
Gradient Boosting,threshold_grid,0.59,0.4,0.04,0.918903803131991,0.8812949640287769,0.6862745098039216,0.7716535433070866,0.9632800709382285,1398,33,112,245,1406100.0,21456.0,1427556.0,798.4093959731543,0.6,2343500.0,536400.0
Gradient Boosting,threshold_grid,0.6,0.4,0.04,0.918903803131991,0.8812949640287769,0.6862745098039216,0.7716535433070866,0.9632800709382285,1398,33,112,245,1406100.0,21456.0,1427556.0,798.4093959731543,0.6,2343500.0,536400.0
Gradient Boosting,threshold_grid,0.61,0.4,0.04,0.9177852348993288,0.8804347826086957,0.680672268907563,0.7677725118483413,0.9632800709382285,1398,33,114,243,1437240.0,21456.0,1458696.0,815.8255033557047,0.6,2395400.0,536400.0
Gradient Boosting,threshold_grid,0.62,0.4,0.04,0.9172259507829977,0.88,0.6778711484593838,0.7658227848101266,0.9632800709382285,1398,33,115,242,1443660.0,21456.0,1465116.0,819.4161073825503,0.6,2406100.0,536400.0
Gradient Boosting,threshold_grid,0.63,0.4,0.04,0.9155480984340044,0.8786764705882353,0.6694677871148459,0.7599364069952306,0.9632800709382285,1398,33,118,239,1460040.0,21456.0,1481496.0,828.5771812080537,0.6,2433400.0,536400.0
Gradient Boosting,threshold_grid,0.64,0.4,0.04,0.9149888143176734,0.8782287822878229,0.6666666666666666,0.7579617834394905,0.9632800709382285,1398,33,119,238,1466160.0,21456.0,1487616.0,832.0,0.6,2443600.0,536400.0
Gradient Boosting,threshold_grid,0.65,0.4,0.04,0.9149888143176734,0.8782287822878229,0.6666666666666666,0.7579617834394905,0.9632800709382285,1398,33,119,238,1466160.0,21456.0,1487616.0,832.0,0.6,2443600.0,536400.0
Gradient Boosting,threshold_grid,0.66,0.4,0.04,0.9149888143176734,0.8782287822878229,0.6666666666666666,0.7579617834394905,0.9632800709382285,1398,33,119,238,1466160.0,21456.0,1487616.0,832.0,0.6,2443600.0,536400.0
Gradient Boosting,threshold_grid,0.67,0.4,0.04,0.9144295302013423,0.8805970149253731,0.6610644257703081,0.7552,0.9632800709382285,1399,32,121,236,1471620.0,21060.0,1492680.0,834.8322147651006,0.6,2452700.0,526500.0
Gradient Boosting,threshold_grid,0.68,0.4,0.04,0.9133109619686801,0.8796992481203008,0.6554621848739496,0.7512038523274478,0.9632800709382285,1399,32,123,234,1492620.0,21060.0,1513680.0,846.5771812080537,0.6,2487700.0,526500.0
Gradient Boosting,threshold_grid,0.69,0.4,0.04,0.9144295302013423,0.8863636363636364,0.6554621848739496,0.7536231884057971,0.9632800709382285,1401,30,123,234,1492620.0,19860.0,1512480.0,845.9060402684564,0.6,2487700.0,496500.0
Gradient Boosting,threshold_grid,0.7,0.4,0.04,0.9144295302013423,0.8893129770992366,0.6526610644257703,0.752827140549273,0.9632800709382285,1402,29,124,233,1497900.0,19376.0,1517276.0,848.5883668903803,0.6,2496500.0,484400.0
Gradient Boosting,threshold_grid,0.71,0.4,0.04,0.9144295302013423,0.8923076923076924,0.6498599439775911,0.7520259319286872,0.9632800709382285,1403,28,125,232,1513200.0,18776.0,1531976.0,856.8098434004474,0.6,2522000.0,469400.0
Gradient Boosting,threshold_grid,0.72,0.4,0.04,0.9138702460850112,0.8949416342412452,0.6442577030812325,0.749185667752443,0.9632800709382285,1404,27,127,230,1521180.0,18596.0,1539776.0,861.17225950783,0.6,2535300.0,464900.0
Gradient Boosting,threshold_grid,0.73,0.4,0.04,0.9144295302013423,0.9015748031496063,0.6414565826330533,0.7495908346972177,0.9632800709382285,1406,25,128,229,1524180.0,15640.0,1539820.0,861.1968680089485,0.6,2540300.0,391000.0
Gradient Boosting,threshold_grid,0.74,0.4,0.04,0.9133109619686801,0.9007936507936508,0.6358543417366946,0.7454844006568144,0.9632800709382285,1406,25,130,227,1548180.0,15640.0,1563820.0,874.6196868008949,0.6,2580300.0,391000.0
Gradient Boosting,threshold_grid,0.75,0.4,0.04,0.912751677852349,0.900398406374502,0.6330532212885154,0.743421052631579,0.9632800709382285,1406,25,131,226,1561560.0,15640.0,1577200.0,882.1029082774049,0.6,2602600.0,391000.0
Gradient Boosting,threshold_grid,0.76,0.4,0.04,0.9121923937360179,0.9,0.6302521008403361,0.7413509060955519,0.9632800709382285,1406,25,132,225,1564200.0,15640.0,1579840.0,883.579418344519,0.6,2607000.0,391000.0
Gradient Boosting,threshold_grid,0.77,0.4,0.04,0.9121923937360179,0.9065040650406504,0.6246498599439776,0.7396351575456053,0.9632800709382285,1408,23,134,223,1578960.0,14556.0,1593516.0,891.228187919463,0.6,2631600.0,363900.0
Gradient Boosting,threshold_grid,0.78,0.4,0.04,0.9110738255033557,0.9057377049180327,0.6190476190476191,0.7354409317803661,0.9632800709382285,1408,23,136,221,1610820.0,14556.0,1625376.0,909.0469798657718,0.6,2684700.0,363900.0
Gradient Boosting,threshold_grid,0.79,0.4,0.04,0.9093959731543624,0.9079497907949791,0.6078431372549019,0.7281879194630873,0.9632800709382285,1409,22,140,217,1643400.0,14008.0,1657408.0,926.9619686800895,0.6,2739000.0,350200.0
Gradient Boosting,threshold_grid,0.8,0.4,0.04,0.9099552572706935,0.9152542372881356,0.6050420168067226,0.7284991568296796,0.9632800709382285,1411,20,141,216,1668420.0,13564.0,1681984.0,940.7069351230425,0.6,2780700.0,339100.0
Gradient Boosting,threshold_grid,0.81,0.4,0.04,0.9099552572706935,0.9152542372881356,0.6050420168067226,0.7284991568296796,0.9632800709382285,1411,20,141,216,1668420.0,13564.0,1681984.0,940.7069351230425,0.6,2780700.0,339100.0
Gradient Boosting,threshold_grid,0.82,0.4,0.04,0.9071588366890381,0.9134199134199135,0.5910364145658263,0.717687074829932,0.9632800709382285,1411,20,146,211,1710600.0,13564.0,1724164.0,964.2975391498882,0.6,2851000.0,339100.0
Gradient Boosting,threshold_grid,0.83,0.4,0.04,0.9071588366890381,0.9170305676855895,0.5882352941176471,0.7167235494880546,0.9632800709382285,1412,19,147,210,1719600.0,13084.0,1732684.0,969.062639821029,0.6,2866000.0,327100.0
Gradient Boosting,threshold_grid,0.84,0.4,0.04,0.9077181208053692,0.9285714285714286,0.5826330532212886,0.7160068846815835,0.9632800709382285,1415,16,149,208,1732560.0,11544.0,1744104.0,975.4496644295302,0.6,2887600.0,288600.0
Gradient Boosting,threshold_grid,0.85,0.4,0.04,0.9088366890380313,0.9369369369369369,0.5826330532212886,0.7184801381692574,0.9632800709382285,1417,14,149,208,1732560.0,10456.0,1743016.0,974.841163310962,0.6,2887600.0,261400.0
